File Description,File Path,Redirect,Category
Target Zero Brand Guidelines (PDF),http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_targetzero_brandguidelines_20221006.pdf,Yes,Brand Guidelines
Download Logo Files (ZIP),http://officeofsafety.abc/wp-content/uploads/2024/10/logo-package-3-4-22.zip,Yes,Logo Package
Download Templates (ZIP),http://officeofsafety.abc/wp-content/uploads/2024/10/templates-and-resources-3-4-22.zip,Yes,"Templates (PowerPoint, Meeting Agenda, Report, Single Page)"
Target Zero Fact Sheet (PDF),http://officeofsafety.abc/wp-content/uploads/2024/10/target-zero-florida.pdf,Yes,Fact Sheet
Download Engagement Item Files (ZIP),http://officeofsafety.abc/wp-content/uploads/2024/10/tz_engagementitems_052023.zip,Yes,Engagement Items
Target Zero Shirt Ordering Guidelines (PDF),http://officeofsafety.abc/wp-content/uploads/2024/10/tz-ordering-resource-shirt_06042024.pdf,Yes,Shirt Ordering Guidelines
Target Zero Shirt Vector Files (ZIP),http://officeofsafety.abc/wp-content/uploads/2024/10/tz_tshirt_vendor_vector_files.zip,Yes,Shirt Ordering Guidelines
August 2024 Partner Update,http://officeofsafety.abc/wp-content/uploads/2024/10/august-2024-target-zero-partner-update.pdf,Yes,Partner Presentations
April 2024 Partner Update,http://officeofsafety.abc/wp-content/uploads/2024/10/april-2024-target-zero-partner-update.pdf,Yes,Partner Presentations
January 2024 Partner Update,http://officeofsafety.abc/wp-content/uploads/2024/10/january-2024-target-zero-partner-update.pdf,Yes,Partner Presentations
December 2023 Partner Update,http://officeofsafety.abc/wp-content/uploads/2024/10/december-2023-target-zero-partner-update.pdf,Yes,Partner Presentations
September 2023 Partner Update,http://officeofsafety.abc/wp-content/uploads/2024/10/september-2023-target-zero-partner-update.pdf,Yes,Partner Presentations
July 2023 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/july-2023-target-zero-partner-update.pdf,Yes,Partner Presentations
May 2023 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/may-2023-target-zero-partner-update.pdf,Yes,Partner Presentations
April 2023 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/april-2023-target-zero-partner-update.pdf,Yes,Partner Presentations
March 2023 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/march-2023-target-zero-partner-update.pdf,Yes,Partner Presentations
February 2023 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/february-2023-target-zero-partner-update.pdf,Yes,Partner Presentations
January 2023 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/january-2023-target-zero-partner-update.pdf,Yes,Partner Presentations
November 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/november-2022-target-zero-partner-update.pdf,Yes,Partner Presentations
October 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/october-2022-target-zero-partner-update.pdf,Yes,Partner Presentations
September 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_september-2022-partner-meeting.pdf,Yes,Partner Presentations
August 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_august-2022-partner-meeting.pdf,Yes,Partner Presentations
July 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_july-2022-partner-meeting.pdf,Yes,Partner Presentations
June 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_june-2022-partner-meeting.pdf,Yes,Partner Presentations
May 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_may-2022-partner-meeting.pdf,Yes,Partner Presentations
April 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_2022-april-partner-meeting-presentation.pdf,Yes,Partner Presentations
March 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/march-2022-partner-presentation.pdf,Yes,Partner Presentations
February 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_february-2022-partner-meeting.pdf,Yes,Partner Presentations
January 2022 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_january-2022-partner-meeting-presentation.pdf,Yes,Partner Presentations
December 2021 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_december-2021-partner-meeting-presentation.pdf,Yes,Partner Presentations
November 2021 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_november-2021-partner-meeting-presentation8a9898b0775a4ccdbdd368da2860cb14.pdf,Yes,Partner Presentations
October 2021 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_october-2021-partner-meeting-presentation.pdf,Yes,Partner Presentations
June 2021 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_june-2021-partner-meeting-presentation.pdf,Yes,Partner Presentations
May 2021 Partner Presentation,http://officeofsafety.abc/wp-content/uploads/2024/10/fdot_target-zero_may-2021-partner-meeting-presentation.pdf,Yes,Partner Presentations
Target Zero Tips Cards (ZIP),http://officeofsafety.abc/wp-content/uploads/2024/10/targetzero_tipcards_2023.zip,Yes,Target Zero Tip Cards
Spring 2023 - Blueberry and Spinach Smoothie,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---spring-2023-b-and-s-smoothie.pdf,Yes,Florida Recipes for Safety TIP Cards
Spring 2023 - Cheesy Baked Florida Tomatoes,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---spring-2023-baked-tomatoes.pdf,Yes,Florida Recipes for Safety TIP Cards
Spring 2023 - Crisp Florida Vegetable Garden Wraps,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---spring-2023-garden-wraps.pdf,Yes,Florida Recipes for Safety TIP Cards
Spring 2023 - Florida Sweet Pepper and Chicken Street Tacos,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---spring-2023-street-tacos.pdf,Yes,Florida Recipes for Safety TIP Cards
Summer 2023 - Florida Avocado and Mango Salad,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-avo-mango-salad.pdf,Yes,Florida Recipes for Safety TIP Cards
Summer 2023 - Florida Grouper with Citrus Salad,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-grouper.pdf,Yes,Florida Recipes for Safety TIP Cards
Summer 2023 - Florida Shrimp Citrus Sauté,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-shrimp-saut%C3%A9.pdf,Yes,Florida Recipes for Safety TIP Cards
Summer 2023 - Roasted Florida Snapper Street Tacos with Avocado Crema,http://officeofsafety.abc/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-snapper-tacos.pdf,Yes,Florida Recipes for Safety TIP Cards
Fall 2023 - Broiled Florida Oysters,http://officeofsafety.abc/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-broiled-florida-oysters-v1.pdf,Yes,Florida Recipes for Safety TIP Cards
