EVENT NAME,EVENT START DATE,EVENT END DATE,EVENT START TIME,EVENT END TIME,EVENT VENUE NAME
New Year's Day,2025-01-01,2025-01-01,08:00 AM,5:00 PM,Base
Law Enforcement Appreciation Day,2025-01-09,2025-01-09,08:00 AM,5:00 PM,Base
Human Trafficking Awareness Day,2025-01-11,2025-01-11,08:00 AM,5:00 PM,Base
Martin Luther King Jr. Day,2025-01-20,2025-01-20,08:00 AM,5:00 PM,Base
Florida Day,2025-01-25,2025-01-25,08:00 AM,5:00 PM,Base
Florida School Crossing Guard Appreciation Day,2025-02-07,2025-02-07,08:00 AM,5:00 PM,Base
National Engineers Week,2025-02-16,2025-02-22,08:00 AM,5:00 PM,Base
Women in Construction Week,2025-03-02,2025-03-08,08:00 AM,5:00 PM,Base
Vehicle Safety Recalls Week,2025-03-03,2025-03-09,08:00 AM,5:00 PM,Base
Employee Appreciation Day,2025-03-07,2025-03-07,08:00 AM,5:00 PM,Base
National Surveyors Week,2025-03-16,2025-03-22,08:00 AM,5:00 PM,Base
St. Patrick’s Day,2025-03-17,2025-03-17,08:00 AM,5:00 PM,Base
FL Govt. Finance Professionals Week,2025-03-17,2025-03-21,08:00 AM,5:00 PM,Base
National Walking Day,2025-04-02,2025-04-02,08:00 AM,5:00 PM,Base
Administrative Professionals Week,2025-04-20,2025-04-26,08:00 AM,5:00 PM,Base
Work Zone Awareness Week,2025-04-21,2025-04-25,08:00 AM,5:00 PM,Base
Take Your Kid to Work Day,2025-04-24,2025-04-24,08:00 AM,5:00 PM,Base
Hurricane Preparedness Week,2025-05-01,2025-05-07,08:00 AM,5:00 PM,Base
National Space Day,2025-05-02,2025-05-02,08:00 AM,5:00 PM,Base
Public Service Recognition Week,2025-05-04,2025-05-10,08:00 AM,5:00 PM,Base
National Train Day,2025-05-10,2025-05-10,08:00 AM,5:00 PM,Base
FL 511 Day,2025-05-11,2025-05-11,08:00 AM,5:00 PM,Base
Memorial Day,2025-05-26,2025-05-26,08:00 AM,5:00 PM,Base
National Secure Your Load Day,2025-06-06,2025-06-06,08:00 AM,5:00 PM,Base
National Trails Day,2025-06-07,2025-06-07,08:00 AM,5:00 PM,Base
Right of Way Professionals Week,2025-06-09,2025-06-15,08:00 AM,5:00 PM,Base
Independence Day,2025-07-04,2025-07-04,08:00 AM,5:00 PM,Base
Operation Safe Driver Week,2025-07-13,2025-07-19,08:00 AM,5:00 PM,Base
Operation Southern Slow Down,2025-07-14,2025-07-19,08:00 AM,5:00 PM,Base
Stop on Red Week,2025-08-03,2025-08-09,08:00 AM,5:00 PM,Base
National Aviation Day,2025-08-19,2025-08-19,08:00 AM,5:00 PM,Base
Labor Day,2025-09-01,2025-09-01,08:00 AM,5:00 PM,Base
FL’s Drowsy Driving Prevention Week,2025-09-01,2025-09-05,08:00 AM,5:00 PM,Base
Truck Driver Appreciation Week,2025-09-14,2025-09-20,08:00 AM,5:00 PM,Base
IT Professionals Day,2025-09-16,2025-09-16,08:00 AM,5:00 PM,Base
Child Passenger Safety Week,2025-09-21,2025-09-27,08:00 AM,5:00 PM,Base
HR Professionals Day,2025-09-26,2025-09-26,08:00 AM,5:00 PM,Base
Seat Check Saturday,2025-09-27,2025-09-27,08:00 AM,5:00 PM,Base
Walk & Roll to School Day,2025-10-08,2025-10-08,08:00 AM,5:00 PM,Base
White Cane Safety Day,2025-10-15,2025-10-15,08:00 AM,5:00 PM,Base
Teen Driver Safety Week,2025-10-19,2025-10-25,08:00 AM,5:00 PM,Base
School Bus Safety Week,2025-10-20,2025-10-24,08:00 AM,5:00 PM,Base
"Buckle Up, Phones Down Day",2025-10-25,2025-10-25,08:00 AM,5:00 PM,Base
Halloween,2025-10-31,2025-10-31,08:00 AM,5:00 PM,Base
Veterans Day,2025-11-11,2025-11-11,08:00 AM,5:00 PM,Base
Seatbelt Safety Day,2025-11-14,2025-11-14,08:00 AM,5:00 PM,Base
Thanksgiving,2025-11-27,2025-11-27,08:00 AM,5:00 PM,Base
Older Driver Safety Awareness Week,2025-12-01,2025-12-05,08:00 AM,5:00 PM,Base
Holiday Season,2025-12-07,2025-12-31,08:00 AM,5:00 PM,Base
